index,Zip Code Tabulation Area,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Population 25 and Over,Rate 25 and Over w/ less than 1st grade,Rate 25 and Over w/ Some or Completed Elementary School,Rate 25 and Over w/ Some or Completed Middle School,Rate 25 and Over w/ Some or Completed High School or Equivalent,"Rate 25 and Over w/ Some college, less than 1 year","Rate 25 and Over w/ Some college, 1 or more years",Rate 25 and Over w/ Associate's degree,Rate 25 and Over w/ Bachelor's degree,Rate 25 and Over w/ Master's degree,Rate 25 and Over w/ Professional school degree,Rate 25 and Over w/ Doctorate degree
28267,81433,516,51.6,45000,33490,0.048449612,436,0,0.036697248,0.02293578,0.300458716,0.027522936,0.208715596,0.094036697,0.240825688,0.068807339,0,0
28268,81434,244,54,29598,19282,0.233606557,194,0.067010309,0,0,0.479381443,0.051546392,0.097938144,0.051546392,0.144329897,0.06185567,0,0.046391753
28269,81435,5278,38.4,66815,49098,0.100985222,3930,0.001272265,0.004580153,0.002035623,0.168447837,0.029770992,0.123918575,0.027226463,0.473282443,0.115012723,0.037913486,0.01653944
28270,81501,23950,30.2,36677,20521,0.25348643,14403,0.016316045,0.010206207,0.018398945,0.340345761,0.082691106,0.182114837,0.073942929,0.177046449,0.060890092,0.020481844,0.017565785
28271,81503,15763,39,55365,26630,0.194633001,10719,0.012781043,0.008676182,0.005504245,0.359455173,0.080324657,0.204869857,0.105513574,0.165593805,0.034798022,0.012407874,0.010075567
28272,81504,28669,37.6,54447,27369,0.134047229,19580,0.006230848,0.008426966,0.017058223,0.406230848,0.081920327,0.180183861,0.105107252,0.140653728,0.042288049,0.008120531,0.003779367
28273,81505,10298,42.3,59914,35110,0.120314624,7043,0,0.004685503,0.006815278,0.283401959,0.093284112,0.161862843,0.099673435,0.218940792,0.077949737,0.027971035,0.025415306
28274,81506,11799,52.5,53707,38431,0.079583016,8949,0.002905353,0.002793608,0.01910828,0.257570678,0.065482177,0.175662085,0.058107051,0.263381383,0.097441055,0.037881328,0.019667002
28275,81507,14985,50.4,79550,39087,0.031031031,11264,0.001331676,0.002041903,0.001864347,0.214666193,0.053444602,0.160600142,0.085227273,0.30246804,0.110795455,0.043767756,0.023792614
28276,81520,13801,33.3,38343,19498,0.269907978,9023,0.008201263,0.020503159,0.012523551,0.482766264,0.086113266,0.192618863,0.079796077,0.093982046,0.021833093,0.001662418,0
28277,81521,15781,38.8,58844,27405,0.126417844,11007,0.002998092,0.032161352,0.006450441,0.344326338,0.09394022,0.218224766,0.087853184,0.134369038,0.066866539,0.00281639,0.00999364
28279,81523,1074,59.3,90336,57731,0,941,0,0.048884166,0,0.276301807,0.049946865,0.24335813,0.045696068,0.131774708,0.153028693,0.022316684,0.02869288
28280,81524,1817,42.9,70688,32700,0.042377545,1247,0,0.02085004,0.012028869,0.340016038,0.096230954,0.125902165,0.111467522,0.204490778,0.079390537,0,0.009623095
28281,81525,1468,34.1,45552,21372,0.057901907,851,0,0,0,0.447708578,0.095182139,0.259694477,0.118683901,0.016451234,0,0.062279671,0
28282,81526,5582,45.5,59256,31440,0.119491222,4122,0,0.014070839,0.008491024,0.290878214,0.069383794,0.247695294,0.074235808,0.175642892,0.099708879,0.011887433,0.008005822
28283,81527,1853,48.9,63734,32711,0.120885051,1394,0.010760402,0,0.015064562,0.331420373,0.091822095,0.154232425,0.06384505,0.18794835,0.116929699,0.010043042,0.017934003
28284,81601,15666,38.9,76732,35465,0.066066641,10504,0.002665651,0.031797411,0.007235339,0.277227723,0.06873572,0.135186596,0.092250571,0.227246763,0.111766946,0.032654227,0.013233054
28285,81610,320,34.7,51000,24101,0.128125,218,0,0,0.018348624,0.596330275,0.114678899,0.133027523,0.050458716,0.087155963,0,0,0
28286,81611,10653,42.4,76027,66647,0.080165212,8271,0.0027808,0,0.006770644,0.135533793,0.022488212,0.118123564,0.051747068,0.471527022,0.10748398,0.060573087,0.022971829
28288,81615,2824,49.3,61273,41013,0.048512748,2166,0,0,0,0.109879963,0.048476454,0.024007387,0.017082179,0.743305633,0.057248384,0,0
28289,81620,10842,31.8,77540,39409,0.099981553,7351,0,0.025166644,0.018364848,0.199020541,0.04162699,0.108692695,0.086790913,0.391647395,0.085158482,0.030744116,0.012787376
28290,81621,5929,42.6,78281,46411,0.115196492,4453,0.020884797,0.036604536,0.001571974,0.250392993,0.057040198,0.164832697,0.048506625,0.313721087,0.075005614,0.027621828,0.003817651
28291,81623,16461,38.4,86978,40883,0.077698803,11819,0.000592267,0.022421525,0.029697944,0.259751248,0.05008884,0.114392081,0.077671546,0.324223708,0.083086556,0.029444115,0.008630172
28292,81624,1408,35.9,60208,26401,0.267755682,823,0,0.0036452,0.008505468,0.469015796,0.081409478,0.200486027,0.040097205,0.142162819,0.044957473,0.009720535,0
28293,81625,12478,37.7,53575,27943,0.135678795,8440,0.004739336,0.016469194,0.011018957,0.464810427,0.106990521,0.156161137,0.069668246,0.11457346,0.043483412,0.006161137,0.005924171
28294,81630,900,40.4,62847,27443,0.101111111,612,0,0,0.003267974,0.511437908,0.124183007,0.145424837,0.062091503,0.104575163,0.040849673,0.008169935,0
28295,81631,8411,35.9,109946,39217,0.035667578,5497,0.005275605,0.012370384,0.005457522,0.190103693,0.038930326,0.085501182,0.168819356,0.383299982,0.092232127,0.009459705,0.008550118
28296,81632,10011,37.5,81851,42193,0.076316052,6745,0.010822832,0.05915493,0.016901408,0.235137139,0.02120089,0.091030393,0.049221646,0.316234248,0.13135656,0.049962936,0.01897702
28298,81635,6634,37.8,66783,31298,0.064063913,4310,0.006264501,0.004408353,0.044315545,0.44199536,0.078886311,0.111832947,0.089791183,0.150348028,0.046171694,0.025986079,0
28299,81637,8554,38.9,82222,30869,0.043254618,5786,0.003975112,0.050812306,0.038368476,0.289319046,0.021603871,0.182509506,0.094192879,0.227618389,0.084341514,0.006394746,0.000864155
28301,81639,2361,44,65170,29363,0.109275731,1641,0,0,0,0.419256551,0.068251066,0.209018891,0.09567337,0.11456429,0.077391834,0.000609385,0.015234613
28303,81641,3752,39.2,46250,26386,0.147654584,2443,0.004911993,0.022513303,0.012279984,0.435120753,0.088825215,0.172329104,0.089234548,0.122799836,0.046254605,0.002046664,0.003683995
28305,81643,561,60.6,73409,40854,0.055258467,489,0,0,0,0.441717791,0.055214724,0.137014315,0.071574642,0.151329243,0.08997955,0.020449898,0.032719836
28306,81645,1114,40.2,88542,43114,0.049371634,981,0.034658512,0.023445464,0,0.153924567,0.055045872,0.172273191,0.042813456,0.398572885,0.070336391,0.037716616,0.011213048
